sample,FP1,FP2,T7,T8,P7,P8,O1,Oz,O2
0,144.66748,25.880371,166.11426,0.43847656,86.14819,74.52783,131.64807,42.83145,83.7478
1,146.06128,24.548584,157.69922,4.7773438,73.9458,70.64746,120.5768,32.09082,77.42285
2,152.19824,39.198486,163.20605,17.891602,82.05774,83.90625,91.99425,15.201447,50.253906
3,149.78174,32.01294,158.7627,-5.131836,66.1897,55.63867,51.65228,-23.532837,4.6047363
4,154.73218,44.239014,162.42871,2.8339844,77.220215,45.549316,89.84868,-5.9143066,29.443115
5,142.33398,32.048096,170.96777,14.299805,94.78259,73.427246,142.67242,38.438873,79.586426
6,146.87085,34.10034,169.21875,26.177734,86.083496,87.37158,125.12869,35.5878,80.28369
7,131.94238,11.684082,164.07129,1.8447266,83.72278,81.086914,90.364,17.732178,56.796387
8,137.42676,22.89209,165.02734,-5.892578,79.49194,64.51709,79.6754,3.0143127,39.42627
9,134.4231,25.517578,163.7539,-3.8623047,79.9884,47.67871,99.725586,3.1663513,41.208496
10,150.28247,35.277832,167.59082,7.4208984,80.50806,49.308105,115.424545,10.077393,42.628662
11,147.30298,28.140625,166.73145,17.714844,86.37671,75.81543,109.91435,20.644714,53.713623
12,150.02173,25.26416,161.9541,-5.2783203,80.4823,77.45166,87.14136,13.594086,51.132324
13,130.70264,6.225586,158.01172,-21.921875,80.08374,61.03369,98.716644,12.756073,54.297607
14,141.70532,20.126953,168.07422,-4.9228516,85.72644,57.13623,112.96571,15.221405,60.525635
15,152.15576,15.930664,168.35547,-0.0048828125,80.63867,65.498535,96.65637,3.0015564,44.72168
16,143.27881,-0.6669922,157.14746,-17.35254,77.52405,50.895508,84.0974,-3.8416748,20.92627
17,147.43018,6.6015625,160.07715,-22.726562,77.91284,53.777832,91.89427,12.537079,36.33667
18,142.2937,8.587891,170.85352,-13.394531,88.85718,55.77881,115.16449,27.233612,65.765625
19,160.29834,15.597412,174.25684,-6.826172,78.78491,56.914062,103.453445,6.074463,56.770508
20,149.67969,-6.9125977,157.06934,-21.832031,53.831787,47.828613,58.14828,-25.0195,17.326416
21,150.17456,-11.72998,153.3584,-30.323242,61.967896,45.140137,54.656017,-25.186829,7.890869
22,146.82495,-9.548828,168.59082,-33.75,82.578125,39.262207,92.477005,5.1868896,31.378174
23,142.76562,-8.844482,166.77637,-37.683594,73.154175,29.20996,109.25157,11.217407,41.198486
24,141.44092,-18.634033,164.28125,-36.26953,66.520874,35.768066,88.8929,-6.019226,34.113525
25,149.10156,-9.64917,163.01953,-25.768555,57.35913,53.8833,46.397366,-31.037323,16.285156
26,138.58008,-20.261963,158.35254,-47.195312,52.122925,39.021484,37.0154,-40.7453,2.0700684
27,144.7185,-12.341309,173.10352,-40.93164,69.86536,39.188477,92.04588,1.1088257,35.928955
28,148.91406,-12.5061035,170.55273,-40.86133,71.74402,21.532715,117.06642,15.01236,38.64258
29,148.6001,-21.98462,165.71484,-32.739258,67.73181,37.41748,88.24417,-6.5411987,22.12793
30,143.98682,-27.94458,155.56934,-40.55371,47.359985,48.185547,36.086475,-39.581573,5.222168
31,143.33179,-22.523926,167.11035,-39.682617,68.86633,52.970703,68.571304,-14.520264,30.325195
32,137.55518,-28.04126,173.25977,-38.004883,81.662964,48.277832,113.140274,13.837891,56.839355
33,148.82886,-23.702393,166.42285,-34.331055,67.08215,36.208496,102.8392,1.5062256,37.389893
34,144.5393,-35.314453,167.5791,-50.430664,56.855347,18.645508,66.66092,-21.27066,1.012207
35,147.64209,-32.864014,162.69531,-58.655273,58.237305,22.748535,48.28313,-29.486877,2.1206055
36,142.52661,-39.117676,169.28711,-52.445312,64.619385,41.728027,74.26315,-13.844299,35.364258
37,140.40405,-44.708008,178.56836,-53.820312,73.187256,34.972168,101.45378,-4.7661743,45.720703
38,131.82617,-58.710938,168.03027,-52.132812,65.23999,35.42871,88.721634,-17.04181,21.017822
39,138.70947,-56.88037,161.48633,-65.893555,56.589355,24.75879,50.29861,-31.27063,-2.1516113
40,136.39551,-45.62915,165.92383,-64.72266,62.56958,15.361328,55.24145,-24.54715,3.1481934
41,143.0332,-36.796143,169.30566,-53.671875,68.46985,12.812988,85.343735,-8.938904,28.833984
42,144.37573,-38.826416,175.65137,-35.189453,72.40405,34.52832,100.105576,-5.829071,39.530518
43,144.64355,-41.39209,170.20312,-34.44336,73.67908,52.731934,87.68364,-9.96344,28.66626
44,129.61914,-46.94287,165.31348,-50.38086,78.54773,55.22461,73.03209,-7.0113525,25.351318
45,132.63037,-39.836426,165.08203,-52.046875,79.55945,42.108887,90.03076,2.584076,36.414062
46,148.33618,-16.168701,169.59863,-30.314453,77.72827,36.68701,104.6234,5.7680664,43.451416
47,156.09863,-13.835205,169.4541,-15.366211,72.025635,41.467285,85.64371,-14.892578,22.935547
48,149.32422,-21.037842,165.06055,-29.251953,74.1853,53.449707,75.433395,-16.178864,17.815186
49,144.29126,-17.885498,165.58887,-26.50293,87.710815,67.90625,104.223694,13.107361,48.64087
50,147.9873,-9.778809,171.61523,-20.042969,91.08386,66.67871,128.98831,34.30313,75.20166
51,146.08887,-6.2041016,173.39355,-4.451172,88.32886,66.66016,130.73764,30.528229,73.520996
52,143.20532,-13.913818,160.61133,-17.566406,64.39136,32.753418,63.83485,-30.901031,3.5810547
53,137.38379,-16.155518,156.83496,-22.454102,69.95337,42.55127,49.842144,-36.64264,-5.137207
54,129.3855,-15.3203125,158.4082,-28.57129,82.186646,52.24121,94.27513,-4.549652,34.11621
