sample,FP1,FP2,T7,T8,P7,P8,O1,Oz,O2
0,63.50171,-96.70947,139.00977,-29.324219,79.591064,66.95654,33.409077,-21.784729,17.368652
1,64.02197,-97.47705,152.52441,-14.298828,88.31348,78.6958,51.865475,-8.025055,31.951904
2,54.026855,-111.72876,141.78027,-23.950195,75.53711,67.743164,16.21222,-30.981506,3.902588
3,47.914307,-116.27954,137.60742,-39.09375,72.98645,65.81836,0.7895622,-40.428802,-8.700439
4,51.91089,-109.115234,143.71582,-35.871094,82.43298,67.69385,26.03556,-18.37439,14.671143
5,55.071045,-99.62451,139.7041,-24.948242,74.18054,61.43701,38.956715,-15.632233,21.692139
6,55.77417,-99.80737,133.36035,-18.58789,68.68738,62.285645,29.691952,-25.663208,14.331055
7,62.378906,-101.33325,143.00098,-22.047852,79.86621,70.458984,7.210991,-35.086334,-1.7446289
8,48.321045,-113.206055,135.15039,-39.421875,71.73938,57.987793,-5.6508007,-46.310974,-17.892578
9,46.50708,-109.08716,142.38379,-38.018555,78.03943,55.48584,22.035366,-33.76013,2.4365234
10,45.720215,-107.19556,143.83691,-33.003906,77.482544,50.39453,32.750515,-31.925385,8.448975
11,42.74292,-115.02466,134.63281,-28.652344,70.35205,58.458984,9.746113,-42.640594,-6.88208
12,60.95337,-100.09839,136.625,-26.609375,73.487915,69.17139,-7.7922764,-49.109955,-14.259766
13,46.17505,-108.76196,135.8418,-40.76172,71.50928,56.0708,-2.695469,-50.146423,-14.748535
14,52.41211,-98.75195,145.86133,-33.348633,82.505005,55.33252,36.61569,-27.197449,10.8671875
15,53.584473,-106.22241,146.00488,-24.701172,82.72168,58.06494,35.70532,-29.16745,11.052246
16,49.095947,-112.17139,141.7539,-30.807617,77.01526,61.36035,0.5268593,-45.3273,-11.189209
17,53.144775,-100.05762,130.42871,-34.65918,71.68176,61.01172,-11.631964,-50.799103,-15.921387
18,64.59424,-85.33765,134.21191,-27.757812,74.81018,57.683594,18.56945,-29.438171,6.880127
19,56.456543,-91.048584,131.74121,-24.682617,68.434326,53.158203,29.930874,-28.325256,14.710449
20,65.53125,-88.71875,143.40332,-16.151367,75.94629,62.490234,16.316288,-34.43103,3.6137695
21,64.36206,-91.30664,145.44922,-26.323242,85.721924,72.74463,-0.1373291,-37.148926,-4.645996
22,51.644287,-98.34668,136.28809,-43.625977,85.527954,55.42871,1.521286,-40.88513,-6.592041
23,56.897217,-92.149414,141.6582,-32.640625,90.1416,49.118652,34.00281,-24.443726,10.677734
24,67.117676,-86.84595,140.87012,-15.449219,84.250244,57.501953,39.045216,-20.926544,15.017334
25,63.664062,-94.52319,131.4414,-24.424805,69.82861,56.91504,-2.7578812,-46.992126,-9.671387
26,61.67041,-98.930176,136.3711,-36.64258,70.87305,52.0459,-23.212427,-61.632812,-28.560791
27,56.08545,-101.36084,140.33398,-49.20117,83.27051,46.169434,10.022175,-41.235504,-2.1791992
28,63.577637,-92.66455,145.11133,-27.134766,90.04004,56.859863,40.50561,-15.80545,23.705566
29,71.68555,-88.596924,145.98242,-10.245117,83.749146,63.913086,23.190575,-30.197601,8.091797
