trial_id,subject_id,session,trial_in_session,coherence,response,correct,rt_s
0,S01,1,1,0.5,1,1.0,0.4930938561645583
1,S01,1,2,-0.15,0,1.0,0.7963736490547233
2,S01,1,3,-0.5,1,0.0,0.5455582116888328
3,S01,1,4,-0.15,1,0.0,1.0716623052723655
4,S01,1,5,0.15,1,1.0,1.916339873371396
5,S01,1,6,-0.3,1,0.0,0.6026107350224518
6,S01,1,7,-0.05,0,1.0,0.9511939626454207
7,S01,1,8,0.5,1,1.0,0.6454008663768296
8,S01,1,9,0.3,1,1.0,0.7642696458236407
9,S01,1,10,-0.3,1,0.0,0.8307390394096233
10,S01,1,11,0.0,0,,0.6734486251453219
11,S01,1,12,-0.15,0,1.0,0.7396111866833359
12,S01,1,13,-0.05,0,1.0,0.9546560165997521
13,S01,1,14,0.5,1,1.0,0.7519339749804094
14,S01,1,15,-0.3,0,1.0,0.6912761257529909
15,S01,1,16,0.3,1,1.0,0.6067454958824544
16,S01,1,17,-0.15,0,1.0,1.5380372419994783
17,S01,1,18,0.15,0,0.0,1.0717711252824216
18,S01,1,19,-0.3,0,1.0,1.0319263304381605
19,S01,1,20,-0.15,0,1.0,0.8111331558777397
20,S01,1,21,-0.05,0,1.0,0.7346676602911686
21,S01,1,22,0.15,1,1.0,0.7461267297214871
22,S01,1,23,-0.5,0,1.0,0.5069179387819623
23,S01,1,24,-0.3,1,0.0,1.2370535559075373
24,S01,1,25,-0.15,1,0.0,0.8198095916124883
25,S01,1,26,0.0,0,,1.2973451344038014
26,S01,1,27,0.3,0,0.0,0.7085938334987614
27,S01,1,28,0.0,0,,1.0147997344963233
28,S01,1,29,-0.3,1,0.0,0.836852438682213
29,S01,1,30,-0.5,1,0.0,0.49427254672399723
30,S01,1,31,0.15,1,1.0,1.3732249643031242
31,S01,1,32,0.3,1,1.0,0.7141190354326934
32,S01,1,33,0.5,1,1.0,0.5317635118339599
33,S01,1,34,-0.05,0,1.0,1.0566832703242546
34,S01,1,35,-0.5,1,0.0,0.7239610062561482
35,S01,1,36,0.15,1,1.0,0.9315144596718398
36,S01,1,37,0.0,0,,0.9231193541581378
37,S01,1,38,0.0,1,,0.5069166415757722
38,S01,1,39,0.5,1,1.0,0.5725311698920933
39,S01,1,40,0.5,1,1.0,0.5669601347168693
40,S01,1,41,0.05,0,0.0,1.1404879779875037
41,S01,1,42,-0.05,1,0.0,0.8901015939649167
42,S01,1,43,0.3,1,1.0,0.9115314409312567
43,S01,1,44,0.0,0,,0.821101143126542
44,S01,1,45,-0.3,0,1.0,0.9242794278478663
45,S01,1,46,-0.5,1,0.0,0.6943041108968414
46,S01,1,47,0.05,0,0.0,0.8288824270780946
47,S01,1,48,0.3,1,1.0,0.835293078114349
48,S01,1,49,-0.5,0,1.0,0.743604117966471
49,S01,1,50,0.0,0,,1.821266639606815
50,S01,1,51,0.0,1,,0.708738497170062
51,S01,1,52,-0.3,1,0.0,0.5277266039950473
52,S01,1,53,0.5,0,0.0,0.7919838940878362
53,S01,1,54,0.15,1,1.0,0.6910052107944861
54,S01,1,55,0.0,1,,0.4933179203151116
55,S01,1,56,-0.5,0,1.0,0.5384505264746486
56,S01,1,57,0.0,1,,1.671516391528059
57,S01,1,58,0.0,0,,0.7040671572556481
58,S01,1,59,0.3,1,1.0,0.48598519723599354
59,S01,1,60,-0.5,0,1.0,1.316011494438132
60,S01,1,61,0.5,1,1.0,0.5332933739384245
61,S01,1,62,0.05,0,0.0,1.9905725625207014
62,S01,1,63,-0.3,0,1.0,0.7171122667208182
63,S01,1,64,0.05,1,1.0,1.4319524322137156
64,S01,1,65,-0.05,0,1.0,0.823926224019097
65,S01,1,66,0.5,0,0.0,0.8188542898103564
66,S01,1,67,-0.05,0,1.0,0.8500442090194377
67,S01,1,68,-0.3,0,1.0,0.7437117049128551
68,S01,1,69,0.05,1,1.0,0.9417749673766003
69,S01,1,70,0.3,1,1.0,0.9072090430087583
70,S01,1,71,0.5,1,1.0,0.7572488010428583
71,S01,1,72,-0.5,0,1.0,0.73587123588247
72,S01,1,73,0.3,0,0.0,0.649566920881358
73,S01,1,74,0.0,0,,0.8758146797582286
74,S01,1,75,-0.5,0,1.0,1.1263200759066168
75,S01,1,76,0.05,1,1.0,0.7127300734279736
76,S01,1,77,-0.15,0,1.0,0.9117948321233115
77,S01,1,78,0.3,1,1.0,1.1097190359711602
78,S01,1,79,0.5,1,1.0,0.8293247436518346
79,S01,1,80,0.15,1,1.0,1.0987996262649748
80,S01,1,81,0.15,0,0.0,0.6210243223667281
81,S01,1,82,0.15,0,0.0,0.9124485100065058
82,S01,1,83,0.05,0,0.0,0.8131786741326215
83,S01,1,84,0.05,1,1.0,0.8223820950736836
84,S01,1,85,0.3,1,1.0,1.2003396856481596
85,S01,1,86,0.15,1,1.0,0.7931185969082181
86,S01,1,87,0.0,1,,0.9777686427424794
87,S01,1,88,-0.15,0,1.0,0.5182246005912049
